glycan,Species,Genus,Family,Order,Class,Phylum,Kingdom,Domain,ref,glytoucan_id,predicted_taxonomy,glycan_type,immunogenicity,disease_association,disease_id,disease_sample,disease_direction,disease_ref,disease_species,tissue_sample,tissue_id,tissue_ref,tissue_species,Composition,readable
Glc(b1-6)GalNAc(a1-6)Gal(a1-4)[Glc(b1-3)]GalNAc(a1-3)D-FucNAcOPEtN(b1-3)[DDManHepOP(a1-7)LDManHep(a1-7)][Glc(b1-2)]LDManHep(a1-3)[Glc(b1-4)]LDManHep(a1-5)Kdo,['Yersinia_enterocolitica'],['Yersinia'],['Yersiniaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],[''],,,,,[],[],[],[],[],[],[],[],[],[],{},True
Neu5Ac(a2-998)Gal(a1-999)[Fuc(a1-999)]GlcNAc(a1-999)Gal(a1-999)GlcNAc(a1-999)[Fuc(a1-998)[Gal(b1-998)]GlcNAc(a1-999)]Man(a1-999)[Fuc(a1-998)[Gal(b1-998)]GlcNAc(a1-999)[Fuc(a1-998)[Gal(b1-998)]GlcNAc(a1-999)]Man(a1-999)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G95895DI,Animalia,N,,[],[],[],[],[],[],[],[],[],[],"{'Neu5Ac': 1, 'Hex': 8, 'dHex': 4, 'HexNAc': 8}",True
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc,['Homo_sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],[''],G14634AH,,N,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 7, 'HexNAc': 5}",True
IdoA2S(a1-4)GlcN2S6S(a1-4)AltA2S(a1-4)GlcN2S6S(a1-4)IdoA2S(a1-4)GlcN2S6S(a1-4)AltA2S(a1-4)GlcN2S6S,[],[],[],[],[],[],[],[],[],G03326CV,Animalia,,,[],[],[],[],[],[],[],[],[],[],{},True
GlcNAc(b1-3)[Gal(b1-4)]GlcNAc(b1-6)Gal(b1-4)Glc-ol,['Bos_indicus'],['Bos'],['Bovidae'],['Artiodactyla'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],['https://www.researchgate.net/publication/317380411_Structure_Elucidation_of_Novel_Oligosaccharide_from_Shyama_Dhenu_Milk_and_their_DFT_Studies_P'],,,free,,[],[],[],[],[],[],['milk'],['UBERON:0001913'],['https://www.researchgate.net/publication/317380411_Structure_Elucidation_of_Novel_Oligosaccharide_from_Shyama_Dhenu_Milk_and_their_DFT_Studies_P'],['Bos_indicus'],"{'HexNAc': 2, 'Hex': 3}",True
GalNAc(a1-999)GalNAc(a1-999)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['HumanInfluenzaA_Virus'],['Alphainfluenzavirus'],['Orthomyxoviridae'],['Articulavirales'],['Insthoviricetes'],['Negarnaviricota'],['Riboviria'],['Virus'],['https://pubs.acs.org/doi/10.1021/acs.analchem.8b05372'],,,N,,[],[],[],[],[],[],[],[],[],[],"{'HexNAc': 5, 'Hex': 3, 'dHex': 1}",True
GlcN2Myr3Myr4PPEtN(b1-6)[Ara1P4N(b1-1)]GlcN2Myr3Myr,"['Salmonella_enterica', 'Salmonella_typhimurium']","['Salmonella', 'Salmonella']","['Enterobacteriaceae', 'Enterobacteriaceae']","['Enterobacterales', 'Enterobacterales']","['Gammaproteobacteria', 'Gammaproteobacteria']","['Proteobacteria', 'Proteobacteria']","['Bacteria', 'Bacteria']","['Bacteria', 'Bacteria']","['https://pubmed.ncbi.nlm.nih.gov/27795394/', 'https://pubmed.ncbi.nlm.nih.gov/27795394/']",,,,,[],[],[],[],[],[],[],[],[],[],"{'HexN': 2, 'Pen': 1, 'PEtN': 1}",True
Gal3S6S(b1-4)GlcNAc6S,[],[],[],[],[],[],[],[],[],G30198YO,Excavata,,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 1, 'HexNAc': 1, 'S': 3}",True
Gal(b1-4)[Neu5Ac(a2-6)]GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,['Phoca_vitulina'],['Phoca'],['Phocidae'],['Carnivora'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/12890545/'],,,free,,[],[],[],[],[],[],['milk'],['UBERON:0001913'],['https://pubmed.ncbi.nlm.nih.gov/12890545/'],['Phoca_vitulina'],"{'Hex': 4, 'Neu5Ac': 1, 'HexNAc': 2}",True
Neu5Gc(a2-998)Gal(b1-998)GlcNAc(b1-998)[Gal(b1-998)GlcNAc(b1-998)]Man(a1-998)[Neu5Ac(a2-998)Gal(b1-998)GlcNAc(b1-998)Man(a1-998)]Man(b1-4)GlcNAc(b1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G64490LR,Animalia,N,,[],[],[],[],[],[],[],[],[],[],"{'Neu5Gc': 1, 'Hex': 6, 'HexNAc': 5, 'Neu5Ac': 1}",True
Abe2Ac(a1-3)Man(a1-4)Rha(b1-4)Gal,[],[],[],[],[],[],[],[],[],G97872EH,Bacteria,,,[],[],[],[],[],[],[],[],[],[],{},True
GalNAc(a1-999)[Fuc(a1-999)]GlcNAc(a1-999)[Kdn(a2-998)Gal(a1-999)]GalNAc,[],[],[],[],[],[],[],[],[],G87863DH,Animalia,,,[],[],[],[],[],[],[],[],[],[],"{'HexNAc': 3, 'dHex': 1, 'Kdn': 1, 'Hex': 1}",True
Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)Man,[],[],[],[],[],[],[],[],[],G23414VB,Fungi,,,[],[],[],[],[],[],[],[],[],[],{'Hex': 6},True
GlcN2S6S(a1-4)IdoA2S(a1-4)GlcN2S3S6S(a1-4)IdoA2S(a1-4)GlcN2S6S(a1-4)IdoA2S(a1-4)GlcN2S6S(a1-4)IdoA2S,[],[],[],[],[],[],[],[],[],G72367WU,Animalia,,,[],[],[],[],[],[],[],[],[],[],"{'HexN': 4, 'HexA': 4, 'S': 13}",True
Man(a1-3)Man(a1-3)Man(a1-3)Man(a1-3)Man(a1-3)Man(a1-2)Xyl(a1-2)Xyl(a1-2)Xyl(a1-3)Gal(a1-6)Glc(a1-3)Man,['Tremella_sanguinea'],['Tremella'],['Tremellaceae'],['Tremellales'],['Tremellomycetes'],['Basidiomycota'],['Fungi'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/27516247/'],,,,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 9, 'Pen': 3}",True
Pse5Ac7Ac(b2-4)Gal(b1-4)Glc(b1-4)Pse5Ac7Ac,['Cellulophaga_fucicola'],['Cellulophaga'],['Flavobacteriaceae'],['Flavobacteriales'],['Flavobacteria'],['Bacteroidetes'],['Bacteria'],['Bacteria'],[''],,,,1.0,[],[],[],[],[],[],[],[],[],[],{},True
Gal(a1-6)Glc(a1-1)Fruf,[],[],[],[],[],[],[],[],[],G01396QC,Fungi,,,[],[],[],[],[],[],[],[],[],[],{},True
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,[],[],[],[],[],[],[],[],[],G73287UF,Animalia,,,[],[],[],[],[],[],[],[],[],[],"{'Neu5Ac': 1, 'Hex': 6, 'HexNAc': 4, 'dHex': 2}",True
Fuc2Me(a1-2)Gal4Me,[],[],[],[],[],[],[],[],[],G78769PZ,Animalia,,,[],[],[],[],[],[],[],[],[],[],"{'dHex': 1, 'Hex': 1, 'Me': 2}",True
Glc(a1-999)Glc(a1-999)GlcNAc,[],[],[],[],[],[],[],[],[],G94844NQ,Bacteria,,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 2, 'HexNAc': 1}",True
GalNAc(b1-4)Gal(b1-4)Glc-ol,"['Delphinapterus_leucas', 'Stenella_coeruleoalba', 'Tursiops_truncatus']","['Delphinapterus', 'Stenella', 'Tursiops']","['Monodontidae', 'Delphinidae', 'Delphinidae']","['Artiodactyla', 'Artiodactyla', 'Artiodactyla']","['Mammalia', 'Mammalia', 'Mammalia']","['Chordata', 'Chordata', 'Chordata']","['Animalia', 'Animalia', 'Animalia']","['Eukarya', 'Eukarya', 'Eukarya']","['https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1', 'https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1', 'https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1']",G23361LI,Animalia,free,,[],[],[],[],[],[],"['milk', 'milk', 'milk']","['UBERON:0001913', 'UBERON:0001913', 'UBERON:0001913']","['https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1', 'https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1', 'https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1']","['Delphinapterus_leucas', 'Stenella_coeruleoalba', 'Tursiops_truncatus']","{'HexNAc': 1, 'Hex': 2}",True
Neu5Ac(a2-998)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G66148HX,Animalia,N,,[],[],[],[],[],[],[],[],[],[],"{'Neu5Ac': 1, 'Hex': 9, 'dHex': 1, 'HexNAc': 7}",True
Man(b1-4)Man(a1-4)Man(b1-4)Man(a1-4)GlcNAc(b1-4)GlcNAc1N,[],[],[],[],[],[],[],[],[],G77710KO,Plantae,,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 4, 'HexNAc': 2}",True
D-4dThrHexAN4en(b1-3)QuiN(b1-3)Rha(a1-3)[Glc(a1-6)]Glc(b1-3)[Glc(a1-4)]GalN(a1-3)LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcN4P(b1-6)GlcN1P,['Pseudomonas_aeruginosa'],['Pseudomonas'],['Pseudomonadaceae'],['Pseudomonadales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],[''],,,,,[],[],[],[],[],[],[],[],[],[],{},True
GlcNAcOMe(b1-2)D-Rha(a1-3)D-Rha(a1-3)D-Rha(a1-3)D-Rha(a1-2)D-RhaGro,['Mesorhizobium_loti'],['Mesorhizobium'],['Phyllobacteriaceae'],['Rhizobiales'],['Alphaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],[''],,,,,[],[],[],[],[],[],[],[],[],[],"{'HexNAc': 1, 'dHex': 5, 'Me': 1}",True
GlcA(b1-3)GalNAc(b1-4)GlcA(b1-3)GalOPCho(b1-3)[Gal(b1-4)]Gal(b1-4)Xyl,['Oesophagostomum_dentatum'],['Oesophagostomum'],['Strongylidae'],['Rhabditida'],['Chromadorea'],['Nematoda'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/29757381/'],,,,,[],[],[],[],[],[],[],[],[],[],"{'HexA': 2, 'HexNAc': 1, 'Hex': 3, 'Pen': 1, 'PCho': 1}",True
GalNAc(b1-4)Gal(b1-3)GalNAc(b1-4)Gal,[],[],[],[],[],[],[],[],[],G48524WL,Animalia,,,[],[],[],[],[],[],[],[],[],[],"{'HexNAc': 2, 'Hex': 2}",True
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-998)[Fuc(a1-3)[GalNAcOS(b1-998)]GlcNAc(b1-2)Man(a1-998)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Gallus_gallus'],['Gallus'],['Phasianidae'],['Galliformes'],['Aves'],['Chordata'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/35136109/'],,,N,,[],[],[],[],[],[],['trachea'],['UBERON:0003126'],['https://pubmed.ncbi.nlm.nih.gov/35136109/'],['Gallus_gallus'],"{'Neu5Ac': 1, 'Hex': 4, 'dHex': 3, 'HexNAc': 5, 'S': 1}",True
D-Apif(a1-999)[Gal(a1-999)Xyl(a1-999)]Rha(a1-999)[Rha(a1-999)]D-Fuc,[],[],[],[],[],[],[],[],[],G44656KJ,Plantae,,,[],[],[],[],[],[],[],[],[],[],{},True
GalNAc(a1-999)[Neu5Gc(a2-998)]Gal(a1-999)GlcNAc(a1-999)[Neu5Ac(a2-998)Gal(b1-998)GlcNAc(b1-998)]Man(a1-998)[Gal(b1-998)GlcNAc(b1-998)Man(a1-998)]Man(b1-4)GlcNAc(b1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G49219XJ,Animalia,N,,[],[],[],[],[],[],[],[],[],[],"{'HexNAc': 6, 'Neu5Gc': 1, 'Hex': 6, 'Neu5Ac': 1}",True
Man(a1-999)Man(a1-999)Man(a1-999)Man(a1-999)Man-ol,[],[],[],[],[],[],[],[],[],G53057QL,Animalia,free,,[],[],[],[],[],[],[],[],[],[],{'Hex': 5},True
Neu4Ac5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]Gal(b1-4)Glc-ol,['Ornithorhynchus_anatinus'],['Ornithorhynchus'],['Ornithorhynchidae'],['Monotremata'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/25601457/'],,,free,,[],[],[],[],[],[],['milk'],['UBERON:0001913'],['https://pubmed.ncbi.nlm.nih.gov/25601457/'],['Ornithorhynchus_anatinus'],"{'Neu5Ac': 1, 'Hex': 4, 'dHex': 2, 'HexNAc': 2, 'Ac': 1}",True
6dTal(a1-998)6dTal(a1-998)6dTal(a1-998)L-Tal,[],[],[],[],[],[],[],[],[],G85554PP,Bacteria,,,[],[],[],[],[],[],[],[],[],[],{},True
Man(a1-3)[Man(a1-6)]Man(a1-3)[DDGalHep(a1-2)]D-FucOS(b1-4)Glc(b1-3)GalN,['Thermoplasma_acidophilum '],['Thermoplasma'],['Thermoplasmataceae'],['Thermoplasmatales'],['Thermoplasmata'],['Euryarchaeota'],['Euryarchaeota'],['Archaea'],[''],,,,,[],[],[],[],[],[],[],[],[],[],{},True
GalNAcOS(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-998)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Homo_sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/33897975/'],,,N,,[],[],[],[],[],[],[],[],[],[],"{'HexNAc': 4, 'Hex': 4, 'S': 1}",True
GlcNAc(b1-2)[GlcNAc(b1-6)]Man(b1-6)Man(b1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G20642SL,Animalia,,,[],[],[],[],[],[],[],[],[],[],"{'HexNAc': 3, 'Hex': 2}",True
GlcNAc(a1-999)[Neu5Ac(a2-998)]Gal(a1-999)GlcNAc(a1-999)[Neu5Ac(a2-998)Gal(b1-998)GlcNAc(b1-998)]Man(a1-998)[Neu5Ac(a2-998)Gal(b1-998)GlcNAc(b1-998)Man(a1-998)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-998)]GlcNAc,[],[],[],[],[],[],[],[],[],G77950SN,Animalia,N,,[],[],[],[],[],[],[],[],[],[],"{'HexNAc': 6, 'Neu5Ac': 3, 'Hex': 6, 'dHex': 1}",True
Glc(b1-4)PseNAcNBut(b2-3)Glc,['Actinoplanes_utahensis'],['Actinoplanes'],['Micromonosporaceae'],['Micromonosporales'],['Actinobacteridae'],['Actinobacteria'],['Bacteria'],['Bacteria'],[''],,,,,[],[],[],[],[],[],[],[],[],[],{},True
GlcNAc(a1-999)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,[],[],[],[],[],[],[],[],[],G32954SJ,Animalia,N,,[],[],[],[],[],[],[],[],[],[],"{'HexNAc': 3, 'Hex': 5, 'dHex': 1}",True
Glc(a1-999)Glc(a1-999)Rha3Me,[],[],[],[],[],[],[],[],[],G88867ME,Bacteria,,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 2, 'dHex': 1, 'Me': 1}",True
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)[Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,['Tursiops_truncatus'],['Tursiops'],['Delphinidae'],['Artiodactyla'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],['https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1'],,,free,,[],[],[],[],[],[],['milk'],['UBERON:0001913'],['https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1'],['Tursiops_truncatus'],"{'dHex': 1, 'Hex': 4, 'HexNAc': 2, 'Neu5Ac': 1}",True
Glc(a1-999)[Man(a1-999)]Man(a1-999)Man(a1-999)Rha,[],[],[],[],[],[],[],[],[],G64326MY,Fungi,,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 4, 'dHex': 1}",True
Neu5Ac(a2-998)Gal(b1-998)GlcNAc(b1-998)Man(a1-998)[Neu5Ac(a2-998)Gal(b1-998)GlcNAc(b1-998)Man(a1-998)]Man(b1-4)GlcNAc(a1-999)ManNAc,[],[],[],[],[],[],[],[],[],G12873UA,Animalia,,,[],[],[],[],[],[],[],[],[],[],"{'Neu5Ac': 2, 'Hex': 5, 'HexNAc': 4}",True
Man(a1-998)[Man(a1-998)]Man(a1-998)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-998)]GlcNAc,[],[],[],[],[],[],[],[],[],G94047JS,Fungi,N,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 4, 'HexNAc': 2, 'dHex': 1}",True
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Gal(b1-4)Gal(b1-4)Fuc(a1-6)]GlcNAc,['Schmidtea_mediterranea'],['Schmidtea'],['Dugesiidae'],['Tricladida'],['Rhabditophora'],['Platyhelminthes'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/29475940/'],,,N,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 5, 'HexNAc': 2, 'dHex': 1}",True
GlcNAc(b1-2)[Fuc(a1-2)Gal(b1-4)][Fuc(a1-3)]Man(a1-3)[D-6dAlt(b1-3)[D-6dAlt(b1-2)Gal(b1-4)]GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,[],[],[],[],[],[],[],[],[],G23889KI,Animalia,N,,[],[],[],[],[],[],[],[],[],[],{},True
Neu5Ac(a2-8)Neu5Gc(a2-8)Neu5Ac(a2-3)[Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc,[],[],[],[],[],[],[],[],[],G20929TQ,Animalia,,,[],[],[],[],[],[],[],[],[],[],"{'Neu5Ac': 2, 'Neu5Gc': 1, 'Hex': 3, 'HexNAc': 1}",True
Gal(b1-2)[Rha(a1-6)]Glc,['Camellia_sinensis'],['Camellia'],['Theaceae'],['Ericales'],['Dicotyledons'],['Angiosperms'],['Plantae'],['Eukarya'],[''],G46488RQ,,,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 2, 'dHex': 1}",True
GlcN2S6S(a1-4)GlcA(b1-4)GlcN3S(a1-4)IdoA2S(a1-4)GlcN2S,[],[],[],[],[],[],[],[],[],G60116OY,Animalia,,,[],[],[],[],[],[],[],[],[],[],"{'HexN': 3, 'HexA': 2, 'S': 5}",True
Gal6S(b1-4)Glc6S,[],[],[],[],[],[],[],[],[],G62136WZ,Animalia,,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 2, 'S': 2}",True
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-998)GlcNAc(b1-6)]Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc,['undetermined'],['Rattus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],[''],G10943MK,,,,[],[],[],[],[],[],[],[],[],[],"{'dHex': 2, 'Hex': 5, 'HexNAc': 3}",True
Man(a1-999)Man(a1-999)Man6P,[],[],[],[],[],[],[],[],[],G23480LC,Animalia,,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 3, 'P': 1}",True
Glc(b1-3)Glc(b1-4)[Rha(a1-2)]Glc,['Absidia_coerulea'],['Absidia'],['Cunninghamellaceae'],['Mucorales'],['Zygomycetes'],['Zygomycota'],['Fungi'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/25498025/'],G62434AY,,,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 3, 'dHex': 1}",True
Neu5Ac(a2-998)Gal(a1-999)GlcNAc(a1-999)Man(a1-3)[GlcNAc(a1-999)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,[],[],[],[],[],[],[],[],[],G75859QM,Animalia,N,,[],[],[],[],[],[],[],[],[],[],"{'Neu5Ac': 1, 'Hex': 4, 'HexNAc': 4, 'dHex': 1}",True
Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Trypanosoma_brucei'],['Trypanosoma'],['Trypanosomatidae'],['Trypanosomatida'],['Kinetoplastida'],['Euglenozoa'],['Excavata'],['Eukarya'],['https://www.jbc.org/article/S0021-9258(21)00955-8/fulltext'],,,N,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 9, 'HexNAc': 8}",True
GlcNAc(a1-999)[Araf(a1-999)]Man(a1-999)[Man(a1-999)][Xylf(a1-999)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-999)]GlcNAc,[],[],[],[],[],[],[],[],[],G15582EA,Plantae,N,,[],[],[],[],[],[],[],[],[],[],{},True
Neu5Ac(a2-998)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-998)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Homo_sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/35183770/'],,,N,,[],[],[],[],[],[],['sperm'],['CL:0000019'],['https://pubmed.ncbi.nlm.nih.gov/35183770/'],['Homo_sapiens'],"{'Neu5Ac': 2, 'Hex': 7, 'HexNAc': 6}",True
Kdn9Ac(a1-999)Gal(a1-999)GalNAc(a1-999)[Kdn(a2-998)]Gal(a1-999)Glc,[],[],[],[],[],[],[],[],[],G54911YM,Bacteria,,,[],[],[],[],[],[],[],[],[],[],"{'Kdn': 2, 'Hex': 3, 'HexNAc': 1, 'Ac': 1}",True
Neu5Ac(a2-998)Gal(a1-999)GlcNAc(a1-999)[Neu5Ac(a2-998)Gal(a1-999)GlcNAc(a1-999)]Man(a1-3)[Gal(a1-999)GlcNAc(a1-999)[Gal(a1-999)GlcNAc(a1-999)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G14972EL,Animalia,N,,[],[],[],[],[],[],[],[],[],[],"{'Neu5Ac': 2, 'Hex': 7, 'HexNAc': 6}",True
Fuc(a1-998)Gal(b1-998)GlcNAc(b1-998)Man(a1-998)[Man(a1-998)]Man(b1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G41981NR,Animalia,,,[],[],[],[],[],[],[],[],[],[],"{'dHex': 1, 'Hex': 4, 'HexNAc': 2}",True
"Gal(b1-3)Gal(a1-3)Gal(b1-3)Gal(a1-3)Gal(b1-3)Gal(a1-3)Galf(b1-3)Gal(a1-3)Galf(b1-3)Gal(a1-3)Galf(b1-3)Gal(a1-3)GlcNAc(b1-5)[Hep(a1-4)]Kdo(a2-6)2,5-Anhydro-Man",['Klebsiella_pneumoniae'],['Klebsiella'],['Enterobacteriaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],['https://pubmed.ncbi.nlm.nih.gov/30818097/'],,,,,[],[],[],[],[],[],[],[],[],[],{},True
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)[Neu5Gc(a2-998)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-4)][Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-2)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G52728XP,Animalia,N,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 7, 'dHex': 3, 'HexNAc': 7, 'Neu5Gc': 1}",True
FucNAc(a1-999)QuiNAc(a1-999)GalNAc(a1-999)GlcNAc,[],[],[],[],[],[],[],[],[],G77486TB,Bacteria,,,[],[],[],[],[],[],[],[],[],[],{},True
Glc(a1-999)[Glc(a1-999)]Glc(a1-999)[Glc(a1-999)]Glc(a1-999)Glc,[],[],[],[],[],[],[],[],[],G92094GJ,Plantae,,,[],[],[],[],[],[],[],[],[],[],{'Hex': 6},True
Fruf1Ac(a1-999)Glc2Ac3Ac6Ac,[],[],[],[],[],[],[],[],[],G92454SK,Bacteria,,,[],[],[],[],[],[],[],[],[],[],{},True
Man(b1-4)GlcNAc(b1-4)[Fuc(b1-3)]GlcNAc,[],[],[],[],[],[],[],[],[],G77577HJ,Animalia,N,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 1, 'HexNAc': 2, 'dHex': 1}",True
GlcA(a1-999)Gal(b1-998)GlcNAc(b1-998)Man(a1-998)[GlcNAc(b1-998)Man(a1-998)][GlcNAc(b1-998)]Man(a1-998)GlcNAc(a1-999)[D-Fuc(a1-999)]GlcNAc,[],[],[],[],[],[],[],[],[],G87689PU,Animalia,,,[],[],[],[],[],[],[],[],[],[],"{'HexA': 1, 'Hex': 4, 'HexNAc': 5, 'dHex': 1}",True
Araf(a1-2)[Glc(b1-6)]Glc,['Deparia_lancea'],['Deparia'],['Athyriaceae'],['Polypodiales'],['Polypodiopsida'],['Polypodiopsida'],['Plantae'],['Eukarya'],[''],G02118GB,,,,[],[],[],[],[],[],[],[],[],[],{},True
GlcA(b1-4)GlcA(b1-4)Glc(b1-4)[GalOPyr(b1-3)GlcOPyr(b1-4)Glc(b1-4)Glc(b1-6)]Glc(a1-4)GlcA,"['Rhizobium_leguminosarum', 'Rhizobium_phaseoli']","['Rhizobium', 'Rhizobium']","['Rhizobiaceae', 'Rhizobiaceae']","['Rhizobiales', 'Rhizobiales']","['Alphaproteobacteria', 'Alphaproteobacteria']","['Proteobacteria', 'Proteobacteria']","['Bacteria', 'Bacteria']","['Bacteria', 'Bacteria']","['', '']",,,,,[],[],[],[],[],[],[],[],[],[],"{'HexA': 3, 'Hex': 6, 'P': 2}",True
